Time,Temperature,Ignored
20.3,30.07,0.0
20.32,30.03,0.0
20.33,30.0,6.97
20.38,30.1,6.16
20.4,30.03,0.59
20.42,30.07,0.0
20.43,30.03,0.59
20.47,30.03,4.64
20.48,30.03,6.68
20.5,30.1,0.0
20.53,30.07,6.4
20.57,30.0,2.88
20.58,30.03,0.56
20.63,30.07,0.0
20.65,30.0,0.0
20.68,30.1,0.0
20.7,30.0,2.88
20.72,30.03,0.0
20.73,30.0,2.88
20.75,30.07,0.0
20.82,30.07,2.31
20.83,30.0,0.0
20.85,29.97,0.0
20.87,30.07,0.0
20.88,30.0,2.88
20.9,30.0,6.93
20.92,30.03,0.0
20.93,30.03,0.56
20.95,29.97,0.0
20.97,30.03,2.59
20.98,30.03,0.56
21.0,29.97,3.13
21.02,29.97,1.1
21.03,29.97,0.0
21.05,29.97,11.27
21.07,30.0,0.0
21.1,30.1,0.0
21.12,30.0,4.91
21.15,30.1,0.0
21.18,30.07,0.0
21.2,30.1,0.0
21.22,30.03,0.0
21.27,30.03,0.0
21.28,30.03,0.56
21.3,29.97,13.3
21.32,30.0,0.83
21.33,30.0,0.83
21.35,29.97,5.18
21.37,30.07,0.0
21.4,29.97,1.1
21.43,30.03,0.55
21.45,30.0,0.0
21.48,29.97,5.18
21.5,29.97,7.21
21.52,30.1,0.01
21.55,30.03,0.0
21.57,30.03,0.0
21.6,30.03,0.0
21.62,30.0,4.9
21.63,30.07,0.28
21.65,30.0,0.0
21.67,30.0,0.83
21.68,29.97,0.0
21.72,30.0,0.0
21.77,30.0,0.83
21.78,30.0,0.0
21.8,29.97,0.0
21.82,30.1,2.06
21.83,30.0,4.91
21.85,30.0,0.0
21.87,29.97,3.14
21.92,30.0,0.83
21.93,29.97,1.1
21.95,30.0,2.88
21.97,30.0,0.0
22.0,29.97,0.0
22.02,30.07,4.36
22.05,30.03,0.0
22.07,30.03,0.56
22.08,30.07,0.0
22.1,30.0,4.9
22.12,29.97,7.21
22.13,29.97,5.17
22.15,30.0,4.9
22.18,30.03,0.0
22.2,30.0,0.0
22.22,29.97,3.13
22.23,30.03,0.0
22.27,30.0,8.97
22.3,29.97,1.1
22.33,30.07,0.0
22.42,30.07,0.0
22.48,30.1,0.0
22.5,29.97,5.19
22.52,30.07,4.36
22.53,30.07,2.32
22.55,29.97,0.0
22.57,30.03,0.0
22.58,30.07,2.31
22.62,30.03,0.0
22.63,30.0,0.84
22.65,30.03,2.6
22.67,29.97,0.0
22.7,30.0,0.84
22.72,30.07,0.0
22.77,30.07,0.0
22.8,30.0,0.0
22.82,30.07,0.0
22.83,30.07,0.0
22.85,30.03,0.57
22.87,30.0,0.0
22.88,30.07,0.0
22.9,30.03,0.0
22.92,30.1,0.0
22.93,29.97,9.24
22.97,30.0,0.0
23.0,30.1,0.0
23.02,29.97,1.11
23.03,30.07,0.0
23.07,29.97,0.0
23.08,30.07,0.3
23.1,30.0,6.93
23.12,30.0,2.88
23.13,29.97,7.22
23.15,30.0,0.84
23.17,30.1,0.0
23.18,30.03,0.0
23.2,29.97,13.31
23.22,30.0,0.83
23.28,30.0,6.92
23.3,30.07,4.34
23.35,30.03,0.0
23.37,30.03,0.0
23.38,29.97,7.19
23.42,30.03,0.53
23.47,30.0,6.9
23.5,30.07,0.0
23.52,29.97,0.0
23.53,30.03,8.65
23.55,30.07,0.0
23.57,30.07,0.0
23.58,30.0,0.79
23.6,30.07,0.0
23.62,30.07,0.0
23.63,30.07,0.24
23.65,30.0,15.02
23.67,30.07,0.23
23.68,30.1,0.0
23.7,30.0,6.87
23.72,30.07,4.29
23.73,30.1,0.0
23.75,30.03,4.54
23.8,30.03,4.53
23.83,30.1,0.0
23.85,30.03,0.47
23.87,30.0,0.75
23.88,30.03,8.6
23.9,30.1,0.0
23.92,30.1,1.97
23.95,30.07,4.25
23.97,30.1,0.0
24.03,30.07,0.0
24.1,30.07,0.17
24.12,30.0,4.78
24.17,30.07,0.16
24.18,30.1,0.0
24.23,30.07,0.14
24.27,30.1,0.0
24.3,30.03,0.0
24.32,30.0,6.77
24.33,30.0,2.71
24.4,29.97,8.99
24.42,30.03,0.0
24.43,29.97,6.97
24.47,30.07,0.0
24.48,30.07,0.25
24.5,30.07,0.0
24.52,30.07,0.0
24.53,30.07,2.26
24.57,30.03,8.57
24.58,29.97,0.85
24.6,29.97,0.85
24.62,30.1,0.0
24.63,29.97,6.96
24.65,30.0,0.64
24.67,30.1,0.03
24.68,30.07,0.0
24.7,30.07,0.0
24.72,30.03,0.0
24.73,30.07,2.24
24.75,29.97,4.91
24.77,30.03,2.46
24.8,29.97,6.94
24.82,30.0,2.67
24.83,30.0,0.0
24.85,30.0,4.71
24.87,30.1,0.0
24.88,30.07,0.22
24.9,29.97,2.86
24.92,29.97,4.9
24.93,29.97,6.94
24.95,30.03,2.45
24.97,30.0,0.0
25.0,29.97,6.93
25.05,29.97,8.94
25.07,30.0,6.7
25.1,30.07,0.0
25.13,29.97,2.84
25.15,30.07,0.0
25.18,30.0,4.68
25.22,30.0,4.68
25.23,30.03,0.39
25.25,30.1,0.0
25.32,30.0,0.0
25.33,30.07,2.21
25.35,30.1,0.0
25.38,30.0,6.68
25.42,30.1,0.0
25.48,30.07,6.24
25.5,30.0,8.69
25.53,30.03,0.0
25.55,30.0,0.54
25.57,30.0,6.64
25.58,30.03,0.0
25.6,30.07,4.19
25.62,30.1,0.0
25.63,30.0,0.0
25.65,30.0,6.62
25.67,29.97,4.81
25.7,30.07,0.0
25.72,30.07,0.11
25.73,29.97,6.83
25.75,30.07,4.17
25.8,29.97,0.7
25.82,30.1,1.93
25.83,30.1,0.0
25.85,30.07,0.0
25.87,30.07,0.0
25.88,30.1,0.0
25.92,30.0,0.48
25.93,30.0,0.0
25.95,30.1,1.91
25.97,30.1,0.0
25.98,30.07,2.08
26.0,30.07,0.06
26.03,30.0,0.46
26.05,29.97,4.74
26.08,30.07,2.07
26.1,30.07,0.0
26.12,30.07,4.11
26.13,29.97,2.69
26.15,30.07,0.0
26.18,30.0,2.5
26.2,30.0,0.46
26.22,30.07,0.0
26.23,30.03,2.28
26.25,29.97,4.73
26.27,30.0,0.45
26.28,30.07,0.04
26.3,30.07,0.0
26.32,30.0,0.0
26.33,30.0,2.49
26.35,30.0,0.0
26.37,30.0,0.0
26.38,30.0,6.54
26.42,30.0,0.45
26.45,29.97,0.0
26.47,30.0,0.44
26.53,30.03,0.0
26.55,29.97,2.68
26.57,30.0,8.58
26.58,29.97,4.72
26.6,30.07,6.12
26.67,30.0,0.44
26.68,30.03,0.0
26.7,30.07,4.09
26.72,29.97,6.74
26.73,30.03,14.44
26.77,29.97,2.66
26.8,30.07,0.0
26.82,30.03,0.0
26.87,30.1,0.0
26.93,30.1,0.0
27.02,30.03,2.21
27.03,30.03,0.0
27.05,30.0,2.43
27.08,30.0,0.0
27.12,30.07,0.0
27.13,30.0,8.5
27.15,30.1,0.0
27.17,30.07,4.01
